#{"t_start": 1776169884.952789, "env_id": "None"}
r,l,t
10.920475,6,0.981572
10.909738,6,0.988163
12.1889,7,1.010308
9.07344,5,1.022993
10.563951,6,1.03564
12.06863,7,1.047456
12.0405,7,1.061722
10.836988,6,1.068704
12.32552,7,1.08064
10.317549,6,1.087313
10.865575,6,1.099643
10.924519,6,1.105994
12.124749,7,1.117809
8.994952,5,1.123178
10.701993,6,1.13507
10.579286,6,1.139573
13.142114,8,1.152926
10.352002,6,1.156951
11.007746,6,1.168881
9.747659,6,1.173857
11.614799,7,1.184281
12.060647,7,1.190295
11.538698,7,1.200495
10.324206,6,1.20645
10.436286,6,1.217312
12.444652,7,1.222226
11.985257,7,1.232139
10.646618,6,1.236203
10.684567,6,1.240589
10.165791,6,1.250264
10.032945,6,1.254577
10.858023,6,1.263216
10.760014,6,1.268019
10.990127,6,1.273575
10.527583,6,1.282241
10.049657,6,1.287122
10.759976,6,1.298085
10.642354,6,1.302657
10.762737,6,1.308463
10.576296,6,1.316915
10.984945,6,1.321225
11.455693,7,1.332706
13.281295,8,1.338411
10.958004,6,1.34812
12.179593,7,1.35353
11.044473,6,1.363528
10.647979,6,1.368141
11.406463,7,1.382804
10.48385,6,1.387348
10.295938,6,1.395306
12.244105,7,1.401735
12.939919,7,1.413396
10.369829,6,1.421637
11.9569,7,1.435135
10.522128,6,1.440252
10.481058,6,1.454638
10.794003,6,1.46807
10.677855,6,1.474794
12.110044,7,1.489363
10.890331,6,1.504239
10.503607,6,1.514858
10.548851,6,1.520152
11.012017,6,1.52861
11.078982,6,1.536437
11.735312,7,1.541407
10.422118,6,1.54852
10.887368,6,1.553519
10.51308,6,1.563051
12.484442,7,1.570526
10.439844,6,1.583132
12.006882,7,1.588411
10.424807,6,1.601411
10.278264,6,1.606083
10.854437,6,1.616467
14.463638,8,1.622546
10.275107,6,1.632004
11.008501,6,1.637473
10.287337,6,1.648704
10.209756,6,1.655462
10.99252,6,1.667239
10.536916,6,1.672438
12.04814,7,1.684435
12.096232,7,1.689866
10.943749,6,1.698566
10.740489,6,1.711613
12.268448,7,1.717444
10.73166,6,1.722731
12.352893,7,1.734544
10.639681,6,1.739398
10.286552,6,1.749222
12.099883,7,1.754038
10.443515,6,1.76175
10.889321,6,1.767899
11.811188,7,1.772542
10.828897,6,1.782102
10.467424,6,1.78624
11.040362,6,1.797942
10.603348,6,1.802836
13.089371,7,1.809204
10.91404,6,1.818483
10.712846,6,1.823541
10.108156,6,1.833669
10.888779,6,1.838004
9.826241,6,1.848522
10.889044,6,1.852878
12.114539,7,1.863483
12.181187,7,1.870661
11.006463,6,1.883179
12.061285,7,1.890217
10.784618,6,1.900906
15.958403,9,1.915201
10.808122,6,1.920539
10.78212,6,1.931094
11.107092,6,1.937464
10.998526,6,1.947294
11.974453,7,1.952692
11.97113,7,1.96538
9.959284,6,1.973717
10.938787,6,1.984256
10.236984,6,1.990362
10.447934,6,2.001577
9.219873,5,2.005243
10.491702,6,2.015115
11.972475,7,2.020166
12.139988,7,2.029967
11.825709,7,2.037158
10.956352,6,2.043917
10.902127,6,2.050731
11.016899,6,2.055213
12.056849,7,2.064962
10.077667,6,2.070401
12.1166,7,2.08224
12.118475,7,2.089853
10.341485,6,2.097515
12.074545,7,2.103045
11.092589,6,2.107179
10.715846,6,2.119009
11.931758,7,2.12698
12.1774,7,2.135372
12.073173,7,2.146967
10.107372,6,2.153234
10.503475,6,2.163683
10.369,6,2.171046
12.03335,7,2.18317
9.76554,6,2.189789
12.175241,7,2.201043
12.009223,7,2.213674
11.083394,6,2.221243
10.087671,6,2.231221
10.337863,6,2.238609
11.952619,7,2.250733
10.629465,6,2.256092
12.20001,7,2.265796
12.16098,7,2.270406
12.357447,7,2.276468
10.893316,6,2.283336
10.805422,6,2.288903
10.814037,6,2.300518
10.07197,6,2.306691
10.311724,6,2.317705
12.508006,7,2.323291
10.963685,6,2.334729
10.45786,6,2.339868
12.202801,7,2.351517
10.987088,6,2.357016
11.005175,6,2.367859
10.723958,6,2.373421
10.969781,6,2.382382
9.06158,5,2.386063
11.969499,7,2.390686
11.061479,6,2.400203
10.247349,6,2.405177
10.899404,6,2.414752
10.447381,6,2.419804
10.321198,6,2.431494
11.005539,6,2.437175
10.825496,6,2.448631
12.052397,7,2.455653
10.292571,6,2.466596
10.342709,6,2.471952
10.359703,6,2.480982
12.115675,7,2.485898
12.101692,7,2.493862
10.809632,6,2.501692
10.884817,7,2.517099
10.130728,6,2.522969
12.057827,7,2.536525
11.925671,7,2.550495
10.914067,6,2.55983
10.839183,6,2.56881
10.217928,6,2.582719
10.627683,6,2.587178
10.674147,6,2.590918
10.339884,6,2.603042
10.955783,6,2.608121
10.257348,6,2.616687
10.186265,6,2.622196
10.815,6,2.63179
10.576657,6,2.636215
10.269527,6,2.639849
12.498559,7,2.648788
10.5632,6,2.655667
10.526336,6,2.667968
11.005805,6,2.673923
11.876918,7,2.68641
10.889532,6,2.697476
10.862854,6,2.704373
10.837961,6,2.711357
11.946473,7,2.717465
10.942678,6,2.721561
10.492065,6,2.729023
10.437293,6,2.737838
10.869538,6,2.74842
10.254131,6,2.757306
11.127944,6,2.769492
10.99615,6,2.779708
12.466763,7,2.787703
10.776899,6,2.797961
10.858727,6,2.805789
10.312468,6,2.818513
10.222783,6,2.826414
9.715075,6,2.835969
10.665894,6,2.846217
10.917296,6,2.853616
10.708982,6,2.86426
10.067309,6,2.870636
10.865613,6,2.881596
10.872504,6,2.887522
12.075739,7,2.90019
10.781272,6,2.906073
12.107978,7,2.917691
10.797226,6,2.93059
12.014665,7,2.93624
12.041985,7,2.945969
10.88381,6,2.951607
10.238909,6,2.956185
11.019799,6,2.967955
12.359375,7,2.97338
10.2662,6,2.981658
12.064408,7,2.987447
10.392445,6,2.997625
10.191198,6,3.002977
11.112209,6,3.015247
11.016951,6,3.022297
10.895545,6,3.031804
11.892635,7,3.037001
10.977641,6,3.049548
10.208675,6,3.056955
10.229573,6,3.06529
12.228137,7,3.070633
12.124337,7,3.081963
9.109738,5,3.086008
10.69203,6,3.098036
10.773277,6,3.102913
10.857429,6,3.107114
10.828486,6,3.116027
9.010514,5,3.120361
10.867452,6,3.127206
10.557905,6,3.133045
10.632025,6,3.138869
10.537968,6,3.148946
10.690978,6,3.153971
10.880398,6,3.163619
10.589173,6,3.171532
10.681316,6,3.180903
12.271776,7,3.188263
10.654282,6,3.199392
13.154023,8,3.207452
9.232054,5,3.216495
10.24088,6,3.220512
11.020217,6,3.234442
10.493261,6,3.248671
10.68547,6,3.253645
10.735489,6,3.26542
10.801415,6,3.270799
12.611923,7,3.281577
10.950606,6,3.292062
10.254772,6,3.301054
10.934908,6,3.305575
