#{"t_start": 1776169974.3279428, "env_id": "None"}
r,l,t
10.79998,6,0.669906
11.954512,7,0.680778
10.386357,6,0.685652
10.051595,6,0.701926
10.230492,6,0.715289
11.90156,7,0.720021
11.818142,7,0.732043
11.923836,7,0.739559
12.058516,7,0.750134
10.561137,6,0.763338
10.021925,6,0.774773
10.835929,6,0.782855
12.176584,7,0.793694
10.054205,6,0.799475
10.674895,6,0.814746
11.976979,7,0.828063
10.639872,6,0.833799
10.399892,6,0.846717
10.954884,6,0.851846
10.764563,6,0.863223
10.007564,6,0.869306
10.519111,6,0.88106
12.118945,7,0.889975
12.054514,7,0.900613
8.861836,5,0.912881
9.877638,6,0.919409
12.124942,7,0.931719
11.920452,7,0.944559
10.564423,6,0.951787
10.752353,6,0.965261
11.847831,7,0.97951
10.335611,6,0.985504
9.902313,6,0.999247
12.00345,7,1.00869
10.96508,6,1.01964
10.914564,6,1.031539
10.586016,6,1.035808
10.738378,6,1.046584
10.84244,6,1.052776
10.567238,6,1.063918
10.787158,6,1.080464
11.921426,7,1.086592
9.920778,6,1.098819
10.141598,6,1.106538
10.292021,6,1.120347
10.299533,6,1.132507
11.99134,7,1.146078
8.926044,5,1.15362
14.325486,8,1.170043
12.156514,7,1.185688
10.599827,6,1.198226
9.924341,6,1.210979
10.142219,6,1.217015
9.990697,6,1.223034
10.743401,6,1.231308
11.065559,6,1.235895
10.765551,6,1.249849
11.652058,7,1.256939
10.910032,7,1.264469
10.836311,6,1.268766
10.854643,6,1.278809
11.919307,7,1.284111
10.528362,6,1.295225
12.335578,7,1.30113
12.027402,7,1.313336
10.677718,6,1.318433
10.725328,6,1.332607
11.909278,7,1.34112
10.209636,6,1.348482
10.253524,6,1.353111
10.493853,6,1.363173
11.570052,7,1.367725
11.979996,7,1.378173
10.841564,6,1.383306
10.726706,6,1.395871
11.733242,7,1.409035
10.644815,6,1.415737
10.27005,6,1.420481
10.514506,6,1.432032
9.923639,6,1.436201
10.96065,6,1.447089
11.979252,7,1.452219
11.87808,7,1.466481
10.025759,6,1.479897
12.094045,7,1.485913
10.559299,6,1.500215
8.964161,5,1.504801
10.852828,6,1.517762
11.668585,7,1.52818
11.593711,7,1.534271
10.316856,6,1.546491
10.608167,6,1.551517
10.261412,6,1.566084
10.446612,6,1.579302
10.648091,6,1.584362
9.840512,6,1.596613
10.741418,6,1.602235
9.976823,6,1.611749
11.672117,7,1.617333
10.557005,6,1.623014
12.159915,7,1.634147
12.172512,7,1.649216
10.839494,6,1.657393
10.842617,6,1.66786
10.842722,6,1.680913
10.816745,6,1.686452
11.425646,7,1.698198
10.571281,6,1.70321
10.148055,6,1.715606
10.864281,6,1.721677
12.126344,7,1.735389
10.561646,6,1.747178
10.92006,6,1.75419
10.076723,6,1.766555
10.69343,6,1.779124
11.941822,7,1.786234
12.139418,7,1.800549
11.951104,7,1.812817
10.816325,6,1.819671
12.153223,7,1.831887
10.872954,6,1.841268
10.439865,6,1.850509
11.875125,7,1.861304
10.683274,6,1.869428
10.166777,6,1.883365
9.741077,6,1.897449
10.461632,6,1.90343
10.436112,6,1.916914
10.459753,6,1.930373
10.842703,6,1.935224
10.310454,6,1.945859
10.145525,6,1.950525
9.831306,6,1.957666
10.586884,6,1.964672
10.308368,6,1.969378
12.012591,7,1.980083
11.761453,7,1.98555
10.016326,6,1.99529
11.93798,7,2.000349
10.677799,6,2.010135
10.194887,6,2.01493
10.580206,6,2.019375
10.745702,6,2.028539
9.952086,6,2.033836
10.331929,6,2.042344
10.854517,6,2.048919
10.703997,6,2.060372
10.595285,6,2.065389
12.15654,7,2.076884
10.542435,6,2.082618
10.837162,6,2.087042
12.043795,7,2.100277
10.335118,6,2.108688
10.533991,6,2.114113
10.769064,6,2.118329
9.849554,6,2.129157
11.738599,7,2.13381
12.164444,7,2.140703
11.690305,7,2.14826
