#{"t_start": 1776350925.3141263, "env_id": "None"}
r,l,t
11.98225,7,8.947752
9.982714,6,8.978314
10.926242,6,9.011007
10.503935,6,9.037109
9.944055,6,9.070505
10.870928,6,9.090653
10.887681,6,9.114978
11.685416,7,9.140473
12.119468,7,9.167689
10.905329,6,9.192842
10.314607,6,9.213563
10.60989,6,9.22454
10.029291,6,9.231832
10.436719,6,9.241224
10.912324,6,9.249887
11.952561,7,9.258123
11.955702,7,9.268623
10.239742,6,9.276051
10.99728,6,9.284223
10.276597,6,9.289526
9.621,6,9.296709
9.921356,6,9.302604
10.828699,6,9.308711
10.908115,6,9.314804
10.421663,6,9.319866
10.472389,6,9.329636
10.799769,6,9.337614
12.001523,7,9.344541
10.875336,7,9.35309
10.454541,6,9.359689
10.781948,6,9.366445
10.767665,6,9.373146
10.844095,6,9.380512
10.065255,6,9.389926
12.355163,7,9.397387
10.8281,6,9.403169
10.933462,6,9.408638
10.530632,6,9.415643
10.833147,6,9.421789
10.741389,6,9.428524
12.036404,7,9.43447
10.289625,6,9.440288
10.692967,6,9.445635
9.573423,6,9.45095
11.950656,7,9.457723
9.021371,5,9.461926
10.919981,6,9.466809
11.904785,7,9.476485
10.2126,6,9.481993
9.538181,6,9.48726
10.876841,6,9.492844
10.438379,6,9.498502
9.989984,6,9.50436
12.023,7,9.510306
11.667379,7,9.517803
10.904002,6,9.523765
10.819076,6,9.530672
10.719438,7,9.538759
10.731095,6,9.546165
10.619882,6,9.552257
11.987927,7,9.557942
10.094361,6,9.565942
10.922248,6,9.570997
11.942569,7,9.577787
10.770417,6,9.583258
9.711805,6,9.590117
10.85557,6,9.595218
11.927173,7,9.601064
11.590065,7,9.606031
10.292395,6,9.61075
10.158821,6,9.615708
11.898896,7,9.621688
10.098769,6,9.628285
12.086763,7,9.635177
10.833118,6,9.641689
11.997462,7,9.649131
10.950351,6,9.654601
11.830491,7,9.661601
10.890554,6,9.66811
12.110664,7,9.674835
10.219714,6,9.68241
12.394704,7,9.689472
10.129925,6,9.69676
10.807769,6,9.704377
10.065774,6,9.711622
9.94064,6,9.72207
